t,sensor_reading
0,-2.1132495252012995
1,0.7746987890538402
2,2.944099523099611
3,1.240971526985764
4,1.8965581898034427
5,0.9184878622880208
6,-1.0271504538053122
7,-0.6783752012883694
8,4.2561602934104
9,1.2985078388521911
10,-1.8818627656176279
11,0.2760244628624595
12,0.7517863758542427
13,-0.1840074428648394
14,1.052557955504424
15,-0.12867292845521183
16,1.870556793885537
17,2.3035988476178004
18,-1.1106573664643276
19,-0.7764700789003809
20,1.6411347646362051
21,0.9554721768415169
22,1.0207897439404778
23,2.656714672920348
24,1.430649388148459
25,2.5549927888754516
26,2.934319393242766
27,-0.07145317720734479
28,1.1919164459808014
29,1.9035604324528188
30,2.948141304531459
31,1.3846087901169302
32,1.405746134101072
33,0.9541244752185556
34,2.7110085908093877
35,-0.9129690291979375
36,1.0203108701776042
37,2.995866791990534
38,1.161603199582601
39,2.5507886687384733
40,2.8512028261967894
41,1.2043874812911455
42,3.2278130973706505
43,0.8756440225941247
44,0.7769931117288138
45,1.188006791284959
46,1.2171692219134878
47,1.1075875207004011
48,4.413004685533554
49,3.7891526333621006
50,2.7046573065349016
51,4.085340032232936
52,2.9034273576569083
53,0.1932801938566704
54,3.6584173485087152
55,1.0059208619724085
56,2.993431483086809
57,0.6672459194694764
58,1.8794505996064852
59,2.0295393157095742
60,5.1937807864397065
61,1.5239952343058896
62,1.0625092420335962
63,2.869974925011749
64,2.2927736905806517
65,2.0971643204441257
66,1.3114595112682474
67,0.8210639562687683
68,2.2749070950073436
69,4.775583507505039
70,1.9012960598698518
71,2.6872829716191973
72,3.0640055053313975
73,3.158475902797196
74,0.8940775698983219
75,4.466438321853388
76,1.2343348835522976
77,1.770418895502863
78,1.8660813221686001
79,1.8306553135161947
80,2.577393483778104
81,2.2734194516342128
82,1.616633918159732
83,1.0532193862777754
84,2.3369554943675332
85,2.3725053896495414
86,0.06309935358852914
87,1.568999864770809
88,3.7860724312263647
89,4.7218720149933535
90,2.7805113892908686
91,0.29734562768667083
92,4.750371068250935
93,0.25342368602914567
94,2.0538849300244517
95,3.8325169485953214
96,0.7305654445587308
97,1.6732940135739507
98,-0.3264964168410467
99,2.0760232581670577
100,2.5150655201435432
101,2.934401627107933
102,2.378032982186634
103,1.7881313622119828
104,1.623786387586275
105,0.9075530974201542
106,4.216248656381996
107,2.219471840595131
108,1.9401549969373426
109,2.7704191085726224
110,1.9706349656116564
111,3.75931908925615
112,1.4624022665134822
113,1.9375789246921902
114,0.6821555252540129
115,2.2545262197854163
116,0.9902405164847898
117,2.292147370521799
118,3.254794348912382
119,1.1064935279787251
120,3.710057665188274
121,1.9988686261102995
122,3.581898024430987
123,1.915202810989698
124,1.5609896868673188
125,0.43441799811395176
126,4.060447292359619
127,0.6564888603249193
128,1.738242588192966
129,1.5401622338858452
130,2.4748557890436196
131,2.5256328715815517
132,1.8434955001490403
133,2.321590925198109
134,3.837416031235617
135,2.3758065560615105
136,0.873934612316903
137,2.639727139644847
138,2.8938268162020875
139,1.981772248008578
140,1.1154710225033133
141,1.5007172248079539
142,5.5395971114866205
143,2.6622052426556917
144,2.8116046363855265
145,3.1816821421294526
146,3.3926363444971583
147,1.9705796731330205
148,3.215930455675738
149,1.923210669268224
150,1.6816572708515043
151,1.897359953725681
152,1.293986580834503
153,1.9430322175640065
154,2.5863972770891643
155,2.2994142759906864
156,1.9854038436036934
157,1.6977095171343348
158,1.3051581504480891
159,1.2540922346248058
160,3.1186774066644354
161,2.1839848190818447
162,3.7259133546895926
163,1.1353039690405147
164,2.2712105129260194
165,-0.04831143341789379
166,2.307225773041573
167,2.035542832003528
168,2.9349908039365173
169,2.2070637967227795
170,1.9098924875548626
171,1.5914847290553178
172,3.221928061929857
173,1.2428493038279342
174,1.3669051897656102
175,3.4979313994149877
176,1.6808894127939655
177,2.453733746631686
178,2.75953542450413
179,3.1338539217808825
180,0.6482584077349149
181,2.7389007096293314
182,0.6472742925237422
183,3.8257756473437654
184,3.4276862427209576
185,2.734467458097834
186,2.9719555798470343
187,1.118955392713475
188,3.312956847351005
189,2.188494113526425
190,1.7780518509722056
191,2.2037357446896273
192,2.594049635828771
193,0.7975514538379374
194,3.0591592567925705
195,3.4098420272655345
196,2.8611450291318707
197,0.24686684614234444
198,1.0183857581519742
199,3.4796893939561366
200,2.2087878547113577
201,2.032063385169529
202,1.0745116910527446
203,2.9901703695986166
204,0.9220809055482098
205,0.9288835820303486
206,1.8413728633058803
207,4.241144813245784
208,1.1577649120151796
209,3.9583243891154303
210,1.5492505665196359
211,2.726846851873499
212,3.404426779927627
213,3.523944022889319
214,2.1020154839390046
215,0.6539766116439258
216,1.9032779321279165
217,1.1550357690069615
218,2.732034362254863
219,0.7400424075426226
220,4.696358344086665
221,1.9468040576629164
222,2.001639817993592
223,2.9547350147203817
224,2.366229368977239
225,3.019961991354191
226,4.068228221552566
227,2.6303188226787437
228,1.6226706264359603
